Ea,Eb,Ec,Cond.
3903010788.73504,3420487299.92571,525011498.502011,Normal
3903010782.52514,3420487269.96626,525011516.054109,Normal
3903010776.30061,3420487239.60946,525011533.842061,Normal
3903010770.05362,3420487208.64337,525011551.991658,Normal
3903010763.78582,3420487177.11191,525011570.476833,Normal
3903010757.50175,3420487145.13959,525011589.223687,Normal
3903010751.19054,3420487112.42946,525011608.408473,Normal
3903010744.86944,3420487079.45134,525011627.752324,Normal
3903010738.51464,3420487045.55807,525011647.639373,Normal
3903010732.15311,3420487011.48175,525011667.635058,Normal
3903010794.91171,3420487329.08937,525011481.422078,Normal
3903010788.73006,3420487299.90171,525011498.516068,Normal
3903010782.51993,3420487269.94112,525011516.068837,Normal
3903010776.29513,3420487239.58229,525011533.857982,Normal
3903010770.04791,3420487208.61503,525011552.008274,Normal
3903010763.77982,3420487177.08143,525011570.49471,Normal
3903010757.49553,3420487145.10788,525011589.242278,Normal
3903010751.18403,3420487112.3955,525011608.428395,Normal
3903010744.8627,3420487079.41611,525011627.772986,Normal
3903010738.50761,3420487045.52046,525011647.661431,Normal
3903010732.1458,3420487011.44172,525011667.65856,Normal
3903010794.907,3420487329.06731,525011481.434998,Normal
3903010788.7251,3420487299.87774,525011498.530113,Normal
3903010782.51473,3420487269.916,525011516.083552,Normal
3903010776.28965,3420487239.55516,525011533.873887,Normal
3903010770.04218,3420487208.58671,525011552.024871,Normal
3903010763.77383,3420487177.05097,525011570.512568,Normal
3903010757.4893,3420487145.0762,525011589.260849,Normal
3903010751.17752,3420487112.36157,525011608.448294,Normal
3903010744.85595,3420487079.38092,525011627.793625,Normal
3903010738.50059,3420487045.48292,525011647.683465,Normal
3903010732.13849,3420487011.40173,525011667.682035,Normal
3903010794.9023,3420487329.04527,525011481.447903,Normal
3903010788.72014,3420487299.85379,525011498.544141,Normal
3903010782.50953,3420487269.89093,525011516.098248,Normal
3903010776.28419,3420487239.52805,525011533.889774,Normal
3903010770.03649,3420487208.55842,525011552.04145,Normal
3903010763.76785,3420487177.02055,525011570.530404,Normal
3903010757.48309,3420487145.04457,525011589.279403,Normal
3903010751.17103,3420487112.32768,525011608.468174,Normal
3903010744.84922,3420487079.34579,525011627.81424,Normal
3903010738.49357,3420487045.44541,525011647.705475,Normal
3903010732.13118,3420487011.36177,525011667.705484,Normal
3903010794.89761,3420487329.02325,525011481.460794,Normal
3903010788.71518,3420487299.82988,525011498.558153,Normal
3903010782.50433,3420487269.86586,525011516.112928,Normal
3903010776.27872,3420487239.50097,525011533.905645,Normal
3903010770.03078,3420487208.53016,525011552.05801,Normal
3903010763.76187,3420487176.99015,525011570.548223,Normal
3903010757.47688,3420487145.01297,525011589.297935,Normal
3903010751.16454,3420487112.29383,525011608.488029,Normal
3903010744.84248,3420487079.31067,525011627.834833,Normal
3903010738.48655,3420487045.40794,525011647.727461,Normal
3903010732.12388,3420487011.32186,525011667.728908,Normal
3903010794.89292,3420487329.00126,525011481.473671,Normal
3903010788.71021,3420487299.80598,525011498.57215,Normal
3903010782.49914,3420487269.84083,525011516.127593,Normal
3903010776.27326,3420487239.47393,525011533.921497,Normal
3903010770.02508,3420487208.50194,525011552.074552,Normal
3903010763.7559,3420487176.9598,525011570.566021,Normal
3903010757.47067,3420487144.9814,525011589.316446,Normal
3903010751.15805,3420487112.26001,525011608.507865,Normal
3903010744.83575,3420487079.2756,525011627.855404,Normal
3903010738.47955,3420487045.37051,525011647.749423,Normal
3903010732.1166,3420487011.28201,525011667.752306,Normal
3903010794.88823,3420487328.9793,525011481.486534,Normal
3903010788.70528,3420487299.78212,525011498.586132,Normal
3903010782.49396,3420487269.81583,525011516.142242,Normal
3903010776.26781,3420487239.44692,525011533.937333,Normal
3903010770.0194,3420487208.47374,525011552.091078,Normal
3903010763.74995,3420487176.92949,525011570.5838,Normal
3903010757.46447,3420487144.94985,525011589.334937,Normal
3903010751.15158,3420487112.22623,525011608.527679,Normal
3903010744.82904,3420487079.24057,525011627.875951,Normal
3903010738.47255,3420487045.33312,525011647.771361,Normal
3903010732.10931,3420487011.24219,525011667.77568,Normal
3903010794.88355,3420487328.95736,525011481.499385,Normal
3903010788.70033,3420487299.75828,525011498.600099,Normal
3903010782.48878,3420487269.79085,525011516.156875,Normal
3903010776.26237,3420487239.41992,525011533.953151,Normal
3903010770.01372,3420487208.44558,525011552.107584,Normal
3903010763.744,3420487176.8992,525011570.601559,Normal
3903010757.45828,3420487144.91836,525011589.353408,Normal
3903010751.14511,3420487112.19249,525011608.54747,Normal
3903010744.82233,3420487079.20557,525011627.896477,Normal
3903010738.46556,3420487045.29577,525011647.793276,Normal
3903010732.10204,3420487011.20241,525011667.799026,Normal
3903010794.87889,3420487328.93544,525011481.512218,Normal
3903010788.6954,3420487299.73447,525011498.614051,Normal
3903010782.48361,3420487269.7659,525011516.171492,Normal
3903010776.25693,3420487239.39297,525011533.968951,Normal
3903010770.00805,3420487208.41745,525011552.124073,Normal
3903010763.73805,3420487176.86894,525011570.619301,Normal
3903010757.45209,3420487144.88689,525011589.371858,Normal
3903010751.13865,3420487112.15879,525011608.567241,Normal
3903010744.81563,3420487079.17063,525011627.916981,Normal
3903010738.45859,3420487045.25847,525011647.815166,Normal
3903010732.09478,3420487011.16267,525011667.822349,Normal
3903010794.87421,3420487328.91354,525011481.525039,Normal
3903010788.69046,3420487299.71068,525011498.627988,Normal
3903010782.47844,3420487269.74099,525011516.186092,Normal
3903010776.25148,3420487239.36603,525011533.984735,Normal
3903010770.00237,3420487208.38936,525011552.140544,Normal
3903010763.7321,3420487176.83872,525011570.637021,Normal
3903010757.44591,3420487144.85546,525011589.390289,Normal
3903010751.13219,3420487112.12511,525011608.586989,Normal
3903010744.80893,3420487079.13571,525011627.937462,Normal
3903010738.45161,3420487045.2212,525011647.837032,Normal
3903010732.08752,3420487011.12298,525011667.845644,Normal
3903010794.86955,3420487328.89167,525011481.537846,Normal
3903010788.68553,3420487299.68692,525011498.641908,Normal
3903010782.47329,3420487269.71608,525011516.200678,Normal
3903010776.24606,3420487239.33913,525011534.000502,Normal
3903010769.99671,3420487208.36128,525011552.156997,Normal
3903010763.72616,3420487176.80853,525011570.654723,Normal
3903010757.43974,3420487144.82405,525011589.408701,Normal
3903010751.12575,3420487112.09148,525011608.606716,Normal
3903010744.80225,3420487079.10083,525011627.957919,Normal
3903010738.44465,3420487045.18397,525011647.858875,Normal
3903010732.08028,3420487011.08334,525011667.868915,Normal
3903010794.8649,3420487328.86983,525011481.55064,Normal
3903010788.68062,3420487299.66319,525011498.655815,Normal
3903010782.46812,3420487269.69121,525011516.215247,Normal
3903010776.24064,3420487239.31226,525011534.016252,Normal
3903010769.99105,3420487208.33323,525011552.173432,Normal
3903010763.72024,3420487176.77836,525011570.672406,Normal
3903010757.43356,3420487144.79269,525011589.42709,Normal
3903010751.1193,3420487112.05788,525011608.626422,Normal
3903010744.79557,3420487079.06599,525011627.978357,Normal
3903010738.43769,3420487045.14679,525011647.880693,Normal
3903010732.07304,3420487011.04373,525011667.892162,Normal
3903010794.86023,3420487328.84801,525011481.563418,Normal
3903010788.67571,3420487299.63947,525011498.669707,Normal
3903010782.46298,3420487269.66638,525011516.229799,Normal
3903010776.23522,3420487239.28542,525011534.031983,Normal
3903010769.98539,3420487208.30523,525011552.189849,Normal
3903010763.71432,3420487176.74825,525011570.690069,Normal
3903010757.4274,3420487144.76136,525011589.445461,Normal
3903010751.11287,3420487112.02433,525011608.646108,Normal
3903010744.78891,3420487079.03118,525011627.998772,Normal
3903010738.43073,3420487045.10964,525011647.902489,Normal
3903010732.0658,3420487011.00417,525011667.915383,Normal
3903010794.85559,3420487328.8262,525011481.576184,Normal
3903010788.67078,3420487299.61579,525011498.683582,Normal
3903010782.45783,3420487269.64156,525011516.244337,Normal
3903010776.22982,3420487239.25861,525011534.047699,Normal
3903010769.97976,3420487208.27725,525011552.206247,Normal
3903010763.70841,3420487176.71815,525011570.707714,Normal
3903010757.42125,3420487144.73006,525011589.463813,Normal
